CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,,,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Viernes,14:00,17:00,2,101,CBC,,,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,SILVA,Viernes,17:00,20:00,2,101,CBC,,,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,SILVA,Viernes,20:00,23:00,2,101,CBC,,,,
(CBC)-QUIMICA-(05),,IDOYAGA,Viernes,7:00,10:00,2,102,CBC,,,,
(CBC)-QUIMICA-(05),,DI RISIO,Viernes,10:00,13:00,2,102,CBC,,,,
(CBC)-QUIMICA-(05),,DI RISIO,Viernes,13:00,16:00,2,102,CBC,,,,
(CBC)-QUIMICA-(05),,DI RISIO,Viernes,17:00,20:00,2,102,CBC,,,,
(CBC)-QUIMICA-(05),,DI RISIO,Viernes,7:00,10:00,2,103,CBC,,,,
(CBC)-QUIMICA-(05),,IDOYAGA,Viernes,10:00,13:00,2,103,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Viernes,13:00,15:00,2,103,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Viernes,15:00,17:00,2,103,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Viernes,17:00,19:00,2,103,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Viernes,19:00,21:00,2,103,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Viernes,7:00,9:00,2,104,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Viernes,9:00,11:00,2,104,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Viernes,11:00,13:00,2,104,CBC,,,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Viernes,14:00,17:00,2,104,CBC,,,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Viernes,17:00,20:00,2,104,CBC,,,,
(CBC)-PSICOLOGIA,,STASIEJKO,Viernes,7:00,9:00,2,107,CBC,,,,
(CBC)-PSICOLOGIA,,STASIEJKO,Viernes,9:00,11:00,2,107,CBC,,,,
(CBC)-PSICOLOGIA,,STASIEJKO,Viernes,11:00,13:00,2,107,CBC,,,,
(CBC)-FILOSOFIA,,CASTRO,Viernes,13:00,15:00,2,107,CBC,,,,
(CBC)-FILOSOFIA,,CASTRO,Viernes,15:00,17:00,2,107,CBC,,,,
(CBC)-BIOLOGIA E INTRODUCCIÓN A LA BIOLOGIA CELULAR (54),,TODARO,Viernes,17:00,20:00,2,107,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Viernes,7:00,9:00,2,108,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Viernes,11:00,13:00,2,108,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Viernes,13:00,15:00,2,108,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Viernes,15:00,17:00,2,108,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Viernes,7:00,9:00,2,109,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Viernes,9:00,11:00,2,109,CBC,,,,
(CBC)-TRABAJO Y SOCIEDAD,,CAGNACCI,Viernes,11:00,13:00,2,109,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Viernes,13:00,15:00,2,109,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Viernes,15:00,17:00,2,109,CBC,,,,
