CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,,,
(CBC)-SOCIOLOGIA,,GAMALLO,Lunes,15:00,17:00,2,211,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Lunes,19:00,21:00,2,211,CBC,,,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Lunes,21:00,23:00,2,211,CBC,,,,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,VALERANI,Lunes,7:00,10:00,2,213,CBC,,,,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,SKERL,Lunes,10:00,13:00,2,213,CBC,,,,
(CBC)-ANALISIS MATEMATICO A (66),,UNICA,Lunes,14:00,17:00,2,213,CBC,,,,
(CBC)-ANALISIS MATEMATICO A (66),,UNICA,Lunes,17:00,20:00,2,213,CBC,,,,
(CBC)-ANALISIS MATEMATICO A (66),,UNICA,Lunes,20:00,23:00,2,213,CBC,,,,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,VALERANI,Lunes,7:00,10:00,2,214,CBC,,,,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,VALERANI,Lunes,10:00,13:00,2,214,CBC,,,,
(CBC)-BIOLOGIA E INTROD. A LA BIOLOGIA CELULAR B,,SKERL,Lunes,13:00,16:00,2,214,CBC,,,,
